序号,标题,简介,链接,发布时间,阅读数,评论数
1,腾讯研究院AI速递 20260416,与波士顿动力合作，赋能Spot四足机器人实现工业场景全自主巡检，同时在物理安全约束遵守方面明显提升。英伟达推出全球首个开源量子AI模型系列Ising，包含校准与解码两类模型，直接拉动美股量子计算概念股集体飙升…,https://www.sohu.com/a/1010073516_455313,15小时前,173阅读,0评论
2,中国青年网民对AI社交的看法与使用行为｜T-ask调研,从使用频次、使用动机、场景偏好到情感联结与付费态度，调研数据清晰展现出用户与AI社交的深度绑定关系：AI不再只是尝鲜式工具，而是逐步融入日常、兼具效率价值与情感慰藉的新型陪伴载体；同时用户在付费决策上保持理性…,https://www.sohu.com/a/1009970041_455313,昨天17:41,607阅读,0评论
3,腾讯研究院AI速递 20260415,提出Vibedocing新范式，可一次处理200个材料，支持本地文件夹双向同步、语音指令、@文件精准关联及专业智能体调用；智在无界发布第三代旗舰模型Being-H0.7，将数据规模扩展至20万小时人类视频，提…,https://www.sohu.com/a/1009568595_455313,昨天00:07,484阅读,0评论
4,全球AI投资：硬件狂飙与应用落差,其循环交易主要表现为三种关键路径，一是微软、亚马逊、谷歌等平台企业与OpenAI和Anthropic之间的资金循环；二是英伟达与OpenAI、xAI、Mistral等之间的投资关系；三是英伟达与CoreWea…,https://www.sohu.com/a/1009497034_455313,前天19:01,3921阅读,0评论
5,腾讯研究院AI速递 20260414,M2.7是MiniMax首个AI深度参与迭代的自进化模型，可自行构建AgentHarness完成复杂软件工程与办公任务；针对短剧、漫剧、影视剧、广告四类场景做专门优化，企业可通过ViduAPI接入自有工作流。…,https://www.sohu.com/a/1009106038_455313,前天00:38,491阅读,0评论
6,汤道生：人工智能正式进入 Harness 时代,对AI的驾驭，需要同时理解人类工程实践和AI的思维方式，需要对系统行为的深刻洞察，需要将错误模式抽象为规则的能力，更需要在人类智慧和机器智能之间搭建桥梁的品味。当这一天到来，驾驶员的角色将从“操作者”升级为“…,https://www.sohu.com/a/1008945866_455313,3天前,751阅读,0评论
7,腾讯研究院AI速递 20260413,同步开源三款MusicSkill，支持AIAgent原生调用音乐生成能力，全球创作内测开启并提供14天限免。Ramp数据显示Anthropic企业客户占比升至30.6%，与OpenAI差距从11个百分点缩至4…,https://www.sohu.com/a/1008648176_455313,3天前,751阅读,0评论
8,给DeepSeek的最后一封催更信,与“中国团”同步成长的也包括“中国链”——从芯片算力、集群/云、数据语料、算法/模型、智能体、AI应用开发生态，已经完成了全链贯通，成为全球范围内唯二的智能科技全产业链国家，有希望为全球智能基础设施多提供一种…,https://www.sohu.com/a/1007772246_455313,6天前,1362阅读,0评论
9,腾讯研究院AI速递 20260410,MiniMax发布面向AIAgent的命令行工具MMX-CLI，Agent可在ClaudeCode等环境中原生调用图像、视频、语音、音乐等全模态能力；仅需两行代码即可安装，无缝接入MiniMaxTokenPl…,https://www.sohu.com/a/1007485670_455313,6天前,366阅读,0评论
10,Token经济学七问——一份关于AI新经济的入门地图,Collis和Brynjolfsson（2025）估算，生成式AI在2024年仅为美国消费者创造的消费者剩余就高达约970亿美元——用户从AI中获得的价值，远超过他们实际支付的金额。这三个问题也只是Token…,https://www.sohu.com/a/1007382381_455313,2026.04.09,485阅读,0评论
11,探元计划NextGen终审路演收官，两大赛道12家文化场景入围最终榜单,本次终审路演聚焦“数智活化”与“AI考古”两大赛道，共计有12家文化场景入围最终榜单。经评审团独立、审慎的评分，严格遵循“公平、公正、客观、独立”的原则，保障评审团的权威性、专业性，确保评审过程的全面性和公正…,https://www.sohu.com/a/1007380520_455313,2026.04.09,492阅读,0评论
12,腾讯研究院AI速递 20260409,Anthropic发布ClaudeMythosPreview模型，可自主发现零日漏洞，已在OpenBSD、FFmpeg、Linux内核中找到多个长期存在的严重安全缺陷；智谱发布开源旗舰模型GLM-5.1，在S…,https://www.sohu.com/a/1007010990_455313,2026.04.09,376阅读,0评论
13,AI政治经济学研究大纲｜一个万字框架,"部分典型的证据包括：GPT等大语言模型在行为经济学博弈实验中的表现出与人类玩家相似的特性，在个性的评估中与来自50个国家超过10万名人类参与者在统计上不可区分（Meietal.,2024）；GPT-4在包括论…",https://www.sohu.com/a/1006866802_455313,2026.04.08,1052阅读,0评论
14,腾讯研究院AI速递 20260408,年支出超百万美元的企业客户两个月内从500多家翻倍至1000多家，ClaudeCode的爆发式增长曾令OpenAI措手不及，迫使其加码Codex助手应对。预计两三年内将AI芯片送入太空的成本将低于地面部署，太…,https://www.sohu.com/a/1006531347_455313,2026.04.08,378阅读,0评论
15,腾讯研究院AI速递 20260407,Gemma4发布四款模型并采用Apache2.0全面开源，最小的E2B仅激活2B参数即可在手机和树莓派上完全离线运行，支持128K上下文和多模态输入；Cursor3将整个编辑器围绕Agent重新构建，支持在云…,https://www.sohu.com/a/1006077794_455313,2026.04.07,606阅读,0评论
16,重磅报告｜AI赋能行业共治——中小银行反电诈实践与探索报告（附下载）,金融机构将从传统意义上的风险防御者，逐步转向“安全体验”的构建者和整合者；科技公司从单纯的技术服务商升级为关键能力供给方，将跨场景风险情报、模型能力和数据能力以标准化方式输出；行业组织在标准建设、数据共享平台…,https://www.sohu.com/a/1004957603_455313,2026.04.03,465阅读,0评论
17,腾讯研究院AI速递 20260403,默认支持100万上下文窗口，在代码修复和终端自动化等智能体编程任务中达到业界领先水平；多模态推理能力升级，在复杂文档理解、视频推理和视觉编程等任务上取得稳定提升；针对Coding框架与Agent框架进行优化训…,https://www.sohu.com/a/1004652300_455313,2026.04.03,415阅读,0评论
18,AI代码的“屎山危机”才刚刚开始,即便被平台标记为垃圾应用甚至遭到拒绝，惩罚也几乎可以忽略，一个苹果开发者账户年费仅99美元，被封禁后换一个账户重新注册的成本远低于一轮审核给苹果团队带来的时间消耗。一位大厂AI工程师对腾讯科技总结了这个链条的…,https://www.sohu.com/a/1004497827_455313,2026.04.02,1408阅读,0评论
19,腾讯研究院AI速递 20260402,Sora因日烧100万美元且用户从100万暴跌至不足50万而下线，OpenAI将算力集中到文本模型、代码生成等有稳定现金流的方向；韩国开发者用AI将核心架构移植为Python版本claw-code，2小时获超…,https://www.sohu.com/a/1004143295_455313,2026.04.02,270阅读,0评论
20,AI时代，教育何往？,"但这些争议反而说明了一件事：AlphaSchool证明的不是""AI可以取代老师""，而是当AI把知识传递接过去之后，老师的角色反而回到了教育最本质的部分：点燃动力、陪伴成长。它的创始人自己说得很清醒：AI只负责…",https://www.sohu.com/a/1004038339_455313,2026.04.01,4968阅读,0评论
21,腾讯研究院AI速递 20260401,Vision2Web构建了从静态网页、交互前端到全栈网站的三级进阶任务体系，结合工作流式Agent验证机制评估多模态代码Agent的真实开发能力；研究者通过跨模型协作工作流，让Claude和GPT两个Agen…,https://www.sohu.com/a/1003655762_455313,2026.04.01,430阅读,0评论
22,太极立方数字体验空间入选2025联合国教科文组织示范案例,3月27日，2025联合国教科文组织“数字环境下保护与促进文化表现形式多样性示范案例”在第五届创意2030国际论坛上正式发布。40个兼具创新性、可持续性与跨文化可复制潜力的示范案例脱颖而出，为数字时代文化多样…,https://www.sohu.com/a/1003517687_455313,2026.03.31,533阅读,0评论
23,我们能在培养皿里制造出意识吗？,我懂您的意思了，毕竟我们刚才还在聊无生命之物也能学习，这或许也能被宽泛地定义为思考，就如我刚才提到的算法。马修・欧文：关于我们该以何种程度担忧脑类器官可能产生意识这一问题，我可以这样概括：相较于担忧AI觉醒，…,https://www.sohu.com/a/1003509302_455313,2026.03.31,2067阅读,0评论
24,腾讯研究院AI速递 20260331,模型自然涌现Audio-VisualVibeCoding能力，可根据音视频指令直接生成可运行代码，支持语义打断、音色克隆和语音控制等实时交互功能；企业微信CLI开源项目上架GitHub，支持ClaudeCod…,https://www.sohu.com/a/1003175714_455313,2026.03.31,409阅读,0评论
25,AI不会撒谎，但会转述谎言,哥伦比亚大学Tow数字新闻中心2025年的一项研究测试了8个AI搜索工具的1600次查询，发现ChatGPT在200次测试中有134次将文章来源张冠李戴，Grok-3的200条引用中154条链接指向错误页面，…,https://www.sohu.com/a/1003054004_455313,2026.03.30,797阅读,0评论
26,腾讯研究院AI速递 20260330,ClaudeCode新增自动模式，用基于Sonnet4.6的转录分类器替代人工审批，在1万条真实流量中误拦率仅0.4%，解决用户93%审批通过率带来的审批疲劳问题；已通过GeminiAPI和GoogleAIS…,https://www.sohu.com/a/1002697404_455313,2026.03.30,453阅读,0评论
27,腾讯汤道生：AI落地不只是算法题，Harness工程能力是关键变量,汤道生分析，随着行业发展，主流大模型的能力差距正在逐步缩小，企业的核心需求已不再是拥有最好的模型，而是如何通过模型的Harness，也即“大模型的脚手架”——包括工具调用、分层上下文工程、长记忆管理、工作流设…,https://www.sohu.com/a/1002545915_455313,2026.03.29,411阅读,0评论
28,人民想念DeepSeek,"""在推理效率提升的情况下，通过补贴，用户有了非常明显的增长，""一位参与过上一轮价格战的大模型公司内部人士说，""大概花了几个亿吧。""Token消耗不像2024年那种规模了，这个情况下，为了虾打价格战，存量用户的…",https://www.sohu.com/a/1001901518_455313,2026.03.27,855阅读,0评论
29,腾讯研究院AI速递 20260327,在SWE-bench上性能从20%自动提升至50%，且针对特定模型优化的智能体在切换到其他模型时仍能提升性能，具有跨领域迁移能力；Gartner预测到2030年中国80%本地AI基础设施将采用国产AI芯片，目…,https://www.sohu.com/a/1001597908_455313,2026.03.27,323阅读,0评论
30,老年人到底需要什么样的AI课？,我们期待，当越来越多老年人说出“我想学AI”时，社会能够提供真正理解他们需求的学习渠道，让老年人在持续学习中释放能力、扩大参与，进而将个体成长转化为银发力量的整体跃升，为银发经济注入长期而稳定的内生动力。在这…,https://www.sohu.com/a/1001473303_455313,2026.03.26,967阅读,0评论
31,腾讯研究院AI速递 20260326,Anthropic从GAN中提取生成器-评估器结构，将其移植到多智能体系统，解决了AI自我评估偏向正面、上下文焦虑导致任务草草收尾两大失败模式；电脑端支持视频连麦、共享屏幕和同步电脑声音，文件拖拽上传、一键转…,https://www.sohu.com/a/1001145172_455313,2026.03.26,328阅读,0评论
32,活跃在评论区里的青年｜T-ask调研,"但结合前述浏览频率与情绪变差的交叉数据，我们会发现——那些刷得最多的人，恰恰是最容易被反噬的人。这不仅仅是对评论区交互效率的判断，更折射出一种弥漫在年轻群体中的公共参与倦怠感——""我的声音不重要""、""说了也改…",https://www.sohu.com/a/1001022155_455313,2026.03.25,867阅读,0评论
33,腾讯研究院AI速递 20250325,将形式化推理拆解为自动形式化、草稿生成和证明生成三大原子能力，MiniF2F-Test上仅72次推理预算即达97.1%通过率；AI已将创意生成成本压至近零，但瓶颈转移至验证和评估环节，海量AI论文涌入期刊人类…,https://www.sohu.com/a/1000700282_455313,2026.03.25,339阅读,0评论
34,"当代人连看剧都不想""长期投入""了吗？",从整体用户规模上看，我国微短剧受众已经接近7亿（截至2025年6月），但在社会影响上，微短剧仍然难以创造全民热议的景象，这集中反映了当前文化消费走向细分化、圈层化的趋势。我接触微短剧的过程主要有三个节点：20…,https://www.sohu.com/a/1000595301_455313,2026.03.24,858阅读,0评论
35,腾讯研究院AI速递 20260324,微信上线ClawBot插件支持接入OpenClaw，阶跃星辰旗下StepClaw率先完成适配，用户通过三步配置即可在微信好友列表中直接使用AI龙虾助手微信ClawBot智谱AutoClaw澳龙完成同日接入，用…,https://www.sohu.com/a/1000235269_455313,2026.03.24,527阅读,0评论
36,人工智能的生产率悖论,：核能远未“便宜到无需计量（TooCheapToMeter）”；可控核聚变“永远需要30年才能实现（Always30YearsAway）”；马文・明斯基（1970）预言“在三到八年的时间里我们将得到一台具有人…,https://www.sohu.com/a/1000090069_455313,2026.03.23,3566阅读,0评论
37,腾讯研究院AI速递 20260323,报告发现AI的好处和伤害同时发生在同一个人身上：享受学习帮助的人认知退化风险最高，用AI省时间的人反而被加速内卷，情感支持使用者对AI产生依赖的概率是普通人3倍；他让自动化研究系统跑了一整晚后发现了自己二十年…,https://www.sohu.com/a/999785508_455313,2026.03.23,504阅读,0评论
38,意义的陷阱,当想到那些过着有意义生活的人时，许多人往往首先联想到的是那些伟大的人物，比如亚当斯-皮克特、巴拉克·奥巴马夫妇这类在毕业典礼上发表演讲的人!然而他们取得的成功非常罕见，我们很难想象自己也能做到这些。他们以自己…,https://www.sohu.com/a/999018667_455313,2026.03.20,2219阅读,0评论
39,腾讯研究院AI速递 20260320,模型针对Agent场景深度优化，在OpenClaw和ClaudeCode等框架中展现出超越ClaudeSonnet4.6的端到端任务完成能力，API定价仅为Opus4.6的五分之一；面壁智能发布EdgeCla…,https://www.sohu.com/a/998703631_455313,2026.03.20,448阅读,0评论
40,AI的边界，就是人类的领地,换言之，人类可以通过有目标的“玄思妙想”甚至是“胡思乱想”实现对已有知识确定性的突破与创新，尽管人工智能有时也会由于数据质量或算法设计等因素出现“知识幻觉”，但这种“胡思乱想”与人工智能技术的底层逻辑相悖，容…,https://www.sohu.com/a/998603109_455313,2026.03.19,2796阅读,0评论
41,腾讯研究院AI速递 20260319,MiniMaxM2.7是首个模型深度参与自身迭代的模型，能自主构建RLHarness、更新记忆、驱动强化学习并优化过程，在内部脚手架上自主迭代超100轮实现30%效果提升；LibTV上线，首个同时面向人与Ag…,https://www.sohu.com/a/998260287_455313,2026.03.19,490阅读,0评论
42,杨斌：确定token的中文译名，已经迫在眉睫了,如果试着将GTC大会上，黄仁勋演讲中的“token工厂”改为“模元工厂”，“单位token成本”改为“单位模元成本”，原本晦涩破碎的产业逻辑表达会立刻变得顺畅且清晰易懂：从业者明白模元是AI生产的基础原料；投…,https://www.sohu.com/a/998131273_455313,2026.03.18,517阅读,0评论
43,腾讯研究院AI速递 20260318,已全面适配OpenClaw、WorkBuddy、QClaw等多个Claw类产品，用户只需在ima中心的Claw配置中复制提示词并获取APIKey即可完成接入；百度AIDAY发布桌面智能体DuMate、手机端R…,https://www.sohu.com/a/997801803_455313,2026.03.18,422阅读,0评论
44,春节AI热潮之后，网民真的开始用AI了吗？｜T-ask调研,为了回答这个问题，T-ask调研平台在春节期间（正月初一至初八）收集了1098份有效用户问卷，重点关注春节AI活动的触达、使用、体验和留存意愿。调研数据一定程度上对这一质疑作出回应：在2026年春节期间的AI…,https://www.sohu.com/a/997696400_455313,2026.03.17,834阅读,0评论
45,腾讯研究院AI速递 20260317,UniPatAI开源SWE-Vision极简视觉智能体框架，仅用两个工具（execute_code和finish）让多模态模型通过编写Python代码来弥补视觉处理精度短板；被曝光系统可自动生成虚假软文并批量…,https://www.sohu.com/a/997336713_455313,2026.03.17,417阅读,0评论
46,深度解读315曝光的“GEO乱象”：AI的回答是如何“被操控”的？,GEO正是利用了这一机制，通过系统性地向网络“投喂”特定内容，让AI在检索时优先抓取这些信息，最终将其作为答案输出给用户。一旦广告被包装成知识，操纵被包装成推荐，伪造出来的大量重复信息又被伪装成“外部共识”，…,https://www.sohu.com/a/997234213_455313,2026.03.16,507阅读,0评论
47,腾讯研究院AI速递 20260316,可部署为Always-OnLabAgent持续读取仪器数据和实验记录，自动触发分析流程并生成报告，配套LabOS系统实现XR眼镜+实验机器人的人机协同实验；联合清华大学提出LATENT方法，人形机器人仅从碎片…,https://www.sohu.com/a/996884128_455313,2026.03.16,416阅读,0评论
48,万物皆计算：重塑人类未来的五大底层逻辑,不幸的是，20世纪的计算范式（至少直到90年代）对机器学习并不友好，这不仅是因为人们对神经网络普遍持怀疑态度，还因为编程本质上是符号性的——计算机是为按顺序执行指令而设计的，而这与神经计算并不契合；而在最初，…,https://www.sohu.com/a/996079941_455313,2026.03.13,366阅读,0评论
49,腾讯研究院AI速递 20260313,Anthropic登上《时代》周刊封面，内部研究人员透露已观察到AI递归自我改进的早期迹象，70%至90%的模型开发代码由Claude完成，完全自动化AI研究可能一年内实现；AI数字干预每个孩子18个月成本仅…,https://www.sohu.com/a/995774414_455313,2026.03.13,391阅读,0评论
